subject_id,trial_id,task_label,shap_obj_dwell_prop,shap_scene_dwell_prop,shap_obj_fix_count,shap_scene_fix_count,shap_obj_dwell_early_ms,shap_obj_dwell_middle_ms,shap_obj_dwell_late_ms,shap_scene_dwell_early_ms,shap_scene_dwell_middle_ms,shap_scene_dwell_late_ms,shap_mean_fix_duration_ms,shap_first_fix_latency_obj_ms,shap_obj_scene_transitions,shap_transition_entropy,shap_obj_revisits,shap_scene_revisits,shap_scanpath_length_deg,shap_fixation_dispersion,shap_saccade_amplitude_mean_deg
1,10,0,0.05042491068646536,0.03822445203130295,0.001274360118887382,0.029149493403782617,-0.04446356550055967,-0.02697773149973773,-0.007301821506385746,0.04726764531658194,0.010094093616746125,0.0023071526554227493,-0.010412834058306796,-0.021931330094185922,0.01255144038763755,0.0017977562800199974,0.00028742930410116955,0.011387935326431248,0.01614401983432969,0.029197698381333632,0.021669813615950932
1,13,0,-3.0207834102184864e-05,0.0015787050784701897,-0.0028183389638711796,0.004839909318422135,-0.0019188927654497,-0.03128367797966837,-0.0008789971024972666,0.04137901159212434,-0.05831874836736608,-0.004215393661368648,-0.007725963273329219,0.0284704881327203,-0.013630466740882492,-0.004418897747388217,-0.0009217255310120273,0.010344287514236104,0.031227873328971187,0.017564777576906256,0.03518026012533836
1,16,0,-0.041801732911207645,-0.03156148958339564,0.0013361931601636643,-0.01872192715302358,-0.007325409416681443,-0.014104502867569584,-0.005785697157749243,-0.07780611140442321,0.0006666689029275455,-0.0024266085580163703,0.0009099185313494137,0.050880259695521984,-0.014514797771421199,-0.002065130589081279,-0.003168504294408823,-0.017823618096042,-0.032000388665824026,-0.048969148200237324,-0.047956852846970106
1,24,0,-0.07997293352359061,-0.05518043695094845,-0.0009084086473304298,-0.01880560185351656,-0.023643831971379727,-0.00036684835170336665,-0.005314234153790653,0.07387614623545612,0.018602689159475203,-0.01413210938734935,0.00022861773015736873,0.004974154653804468,-0.0037467981160952822,0.0038442811271180255,0.003492796989260109,0.016302042200509247,-0.018078426821396976,-0.05124985185773349,-0.0493593249444882
1,26,0,-0.048911233712941135,-0.03167609457966252,-6.144915555414365e-05,-0.02302698476580767,0.004546412101247212,-0.0050924842724246735,-0.0003132676175669668,-0.0928599262379066,0.019151578348216364,-0.001747533561116369,0.0044767957811496775,-0.043789183601926816,-0.01583829954055055,-0.0034759156617836266,-0.0013263160970200883,-0.030070997093305834,-0.019949131818616486,-0.028383051516799467,-0.031658093322916955
1,27,0,-0.12561925850132177,-0.09434866076128594,0.00034614187565614623,-0.07529991944779407,-0.014099356173768843,0.0006577085226823222,-0.003286873628217814,0.0701708669686364,-0.03939430879995351,-0.01612643945178719,-0.0023954696400423697,0.02464443246090816,-0.005032663149192395,-0.0008816568851948624,-0.0004213276983909255,0.01603768458278816,-0.03314803267563821,-0.050509191625830015,-0.0480999795631156
1,29,0,-0.09887573087269796,-0.07080140767269523,-0.0007341385192820642,-0.05734555144821284,-0.0024470378086271817,0.00394960385092734,-0.0038383793590154613,-0.09743685032984986,-0.00818095203529113,-0.0009395152970889382,-2.3056647477487042e-05,-0.027658192398853775,-0.011833381579106518,-0.002968202075563879,-0.0006522842770118269,-0.02243845295002821,-0.024912804614221386,-0.022882575952009068,-0.0373577092060416
1,35,0,0.02045394003583177,0.010492121528542809,-0.001208303962366425,0.007255280945696388,0.0046318438929986655,-0.0017870337469904228,-0.006047322656154277,0.05324731386880725,0.002358789572956628,-0.0026309116770736993,-0.011245837093464738,-0.001459319324633976,-0.011581461900947802,-0.004587554152436553,-0.0014968477636127099,0.009626566903986,0.021078661421988044,0.00762210453191771,0.02092446449123136
1,36,0,-0.059485853755913705,-0.039256027834262325,-0.0017199407351649767,-0.02611940104363754,0.0011576575854562224,0.006757750085695321,0.002266907638291273,-0.06363429230404755,-0.027502607323987127,-0.001835825588879325,-0.002548437402731826,-0.04613120277913301,-0.011800404495154303,-0.0034600322022614325,0.0004983246597405635,-0.02493969804797595,-0.020612790298676135,-0.02362191319885598,-0.03537909545674379
1,39,0,0.02093418560543559,0.010990087206680136,0.000271652634801133,0.00950415429795854,0.009781863647180944,-0.001934704074436591,-0.0002093453369927537,0.06766078978511005,0.013802021105435054,0.002946175339048753,-0.0011386592894567036,-0.06516723929745166,-0.014631043915589259,-0.0039418325184515,-0.0014155477636892003,0.011815327887408805,-0.0003131247919241114,-0.08420723898621975,-0.016762074894615626
