feature,mean_abs_shap
scene_dwell_early_ms,0.0693475239990901
obj_dwell_prop,0.0629563580980647
scene_dwell_prop,0.046090104964136645
fixation_dispersion,0.03650077607143409
scene_fix_count,0.03307927509490011
saccade_amplitude_mean_deg,0.03150040800127826
first_fix_latency_obj_ms,0.030222612981622012
scanpath_length_deg,0.026075325340542712
scene_revisits,0.016402091584065432
scene_dwell_middle_ms,0.01554039854180783
obj_scene_transitions,0.011736303575753768
obj_dwell_early_ms,0.008683723451325806
mean_fix_duration_ms,0.007852793426639445
obj_dwell_middle_ms,0.007080083076423607
obj_dwell_late_ms,0.006150455965801813
obj_fix_count,0.005464668452626892
scene_dwell_late_ms,0.004086079374354043
transition_entropy,0.0026422961204872163
obj_revisits,0.0009263824918890579
