subject_id,trial_id,task,task_label,obj_dwell_prop,scene_dwell_prop,obj_fix_count,scene_fix_count,obj_dwell_early_ms,obj_dwell_middle_ms,obj_dwell_late_ms,scene_dwell_early_ms,scene_dwell_middle_ms,scene_dwell_late_ms,mean_fix_duration_ms,first_fix_latency_obj_ms,obj_scene_transitions,transition_entropy,obj_revisits,scene_revisits,scanpath_length_deg,fixation_dispersion,saccade_amplitude_mean_deg
1,10,RELATIONAL,0,1.0,0.0,9,0,2024.0,566.0,1119.0,0.0,0.0,0.0,412.1111111111111,47.0,0.0,,0,0,9.101656219229943,150.71067978083025,1.1400679237869693
1,13,RELATIONAL,0,0.8932496075353218,0.10675039246467818,9,1,1245.0,1652.0,517.0,0.0,408.0,0.0,382.2,32.0,2.0,1.0,1,0,14.721137510101942,348.6521705080868,1.6446270038286412
1,16,RELATIONAL,0,0.800126103404792,0.19987389659520807,8,3,804.0,1378.0,356.0,207.0,221.0,206.0,288.3636363636364,43.0,4.0,1.0,2,1,42.537480546524414,837.6162352589905,4.458286606542315
1,24,RELATIONAL,0,0.6257889990982868,0.3742110009017133,6,3,1689.0,393.0,0.0,0.0,0.0,1245.0,369.6666666666667,36.0,1.0,0.0,0,0,32.10095129342885,1019.7391528209157,4.119209860015784
1,26,RELATIONAL,0,0.8039157520023732,0.1960842479976268,9,3,1090.0,906.0,714.0,187.0,0.0,474.0,280.9166666666667,284.0,5.0,0.9709505944546686,2,2,49.22593143554499,1957.2627378111065,4.7695603687364185
1,27,RELATIONAL,0,0.39067571555030983,0.6093242844496902,6,6,1236.0,0.0,88.0,0.0,1276.0,789.0,282.4166666666667,42.0,2.0,1.0,1,0,47.75599402332706,1287.417034892708,4.60909019806377
1,29,RELATIONAL,0,0.35899653979238755,0.6410034602076125,5,7,377.0,538.0,330.0,983.0,497.0,743.0,289.0,328.0,6.0,1.0,2,3,60.23720626829333,2186.0803385387644,6.037690455056108
1,35,RELATIONAL,0,0.9431851633794525,0.056814836620547544,8,1,1035.0,1021.0,1148.0,0.0,193.0,0.0,377.44444444444446,38.0,2.0,1.0,1,0,11.272054192974625,385.35700330991773,1.413497307493863
1,36,RELATIONAL,0,0.6573748308525034,0.34262516914749663,5,4,1126.0,0.0,1303.0,143.0,1123.0,0.0,410.55555555555554,244.0,3.0,0.9182958340544896,1,1,44.20954446178432,2025.0520711078814,5.8127499404232745
1,39,RELATIONAL,0,0.943326626425218,0.05667337357478203,9,1,990.0,993.0,830.0,0.0,0.0,169.0,298.2,258.0,1.0,0.0,0,0,20.523353560107292,737.0968102320895,2.3047611201531293
1,40,RELATIONAL,0,0.46281940855584264,0.5371805914441573,6,7,652.0,0.0,960.0,719.0,910.0,242.0,267.9230769230769,38.0,4.0,1.0,2,1,70.50348921578569,2157.654961112028,6.741423523201157
1,44,RELATIONAL,0,0.6190878378378378,0.38091216216216217,7,4,1279.0,393.0,527.0,132.0,831.0,390.0,322.90909090909093,225.0,5.0,0.9709505944546686,2,2,67.09912668773977,2286.9525432340843,7.587804104560737
