subject_id,auc_rf,auc_lr,n_item,n_relational,n_total,item_prop,low_auc
50,1.0,0.9845679012345678,36,36,72,0.5,False
76,0.999074074074074,0.9462962962962963,30,36,66,0.45454545454545453,False
38,0.9969135802469136,0.9945987654320987,36,36,72,0.5,False
86,0.9914529914529915,0.9786324786324786,26,36,62,0.41935483870967744,False
48,0.9899691358024691,0.9861111111111112,36,36,72,0.5,False
74,0.9879227053140096,0.9770531400966184,23,36,59,0.3898305084745763,False
42,0.9852941176470589,0.9542483660130718,34,36,70,0.4857142857142857,False
10,0.9822530864197532,0.9722222222222222,36,36,72,0.5,False
32,0.9764309764309764,0.9806397306397306,33,36,69,0.4782608695652174,False
69,0.9753086419753086,0.9729938271604938,36,36,72,0.5,False
19,0.9746031746031746,0.9785714285714286,36,35,71,0.5070422535211268,False
71,0.974537037037037,0.9675925925925927,36,36,72,0.5,False
12,0.9737654320987654,0.9837962962962963,36,36,72,0.5,False
36,0.9673202614379085,0.9566993464052288,34,36,70,0.4857142857142857,False
22,0.9640816326530612,0.9648979591836735,35,35,70,0.5,False
46,0.9614197530864197,0.962962962962963,36,36,72,0.5,False
72,0.9614197530864197,0.962962962962963,36,36,72,0.5,False
3,0.9604395604395604,0.9131868131868133,35,26,61,0.5737704918032787,False
33,0.9592013888888888,0.9201388888888888,32,36,68,0.47058823529411764,False
43,0.9560185185185186,0.9344135802469137,36,36,72,0.5,False
62,0.9516129032258064,0.9014336917562724,31,36,67,0.4626865671641791,False
15,0.9475308641975309,0.9398148148148149,36,36,72,0.5,False
25,0.9412698412698414,0.9460317460317461,35,36,71,0.49295774647887325,False
84,0.9405864197530864,0.9421296296296295,36,36,72,0.5,False
31,0.9388888888888889,0.9531746031746031,35,36,71,0.49295774647887325,False
30,0.9357142857142857,0.9103174603174603,36,35,71,0.5070422535211268,False
40,0.935483870967742,0.9408602150537635,31,36,67,0.4626865671641791,False
34,0.9351851851851852,0.9112654320987654,36,36,72,0.5,False
65,0.9314285714285715,0.9208163265306123,35,35,70,0.5,False
29,0.9266975308641976,0.9529320987654322,36,36,72,0.5,False
68,0.9237199582027168,0.9634273772204807,29,33,62,0.46774193548387094,False
85,0.915895061728395,0.9182098765432098,36,36,72,0.5,False
6,0.9142857142857144,0.8865079365079365,36,35,71,0.5070422535211268,False
73,0.908179012345679,0.9174382716049383,36,36,72,0.5,False
1,0.9071180555555556,0.9036458333333334,32,36,68,0.47058823529411764,False
83,0.9050691244239631,0.8986175115207373,31,35,66,0.4696969696969697,False
56,0.90282131661442,0.8505747126436781,29,33,62,0.46774193548387094,False
77,0.8966049382716049,0.9189814814814814,36,36,72,0.5,False
55,0.8921658986175115,0.8267281105990782,31,35,66,0.4696969696969697,False
21,0.8897058823529411,0.9096638655462185,28,34,62,0.45161290322580644,False
41,0.8865079365079365,0.8293650793650793,36,35,71,0.5070422535211268,False
16,0.8841269841269841,0.8539682539682539,35,36,71,0.49295774647887325,False
66,0.8834547346514048,0.8116545265348595,31,31,62,0.5,False
4,0.8802083333333333,0.8064236111111112,36,32,68,0.5294117647058824,False
14,0.8719135802469136,0.8402777777777778,36,36,72,0.5,False
57,0.8657407407407407,0.8587962962962963,36,36,72,0.5,False
52,0.8648897058823529,0.817095588235294,32,34,66,0.48484848484848486,False
